Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Crazy Suite,Firefox 66.0,,2019-04-04 15:19:20,2019-04-04 15:20:25,1m - 5.304s,ERROR
,,,,,,
Test Cases/Imported from Selenium IDE Scripts/Crazy Suite/Crazy Case,Firefox 66.0,,2019-04-04 15:19:20,2019-04-04 15:20:20,59.462s,ERROR
"""----------------------------------------------------""",Firefox 66.0,,2019-04-04 15:19:21,2019-04-04 15:19:21,0.003s,PASSED
"""This test case script is generated by Katalon Studio""",Firefox 66.0,,2019-04-04 15:19:21,2019-04-04 15:19:21,0.002s,PASSED
"""Generated date: 26-Mar-2019 02:06:18 PM""",Firefox 66.0,,2019-04-04 15:19:21,2019-04-04 15:19:21,0.000s,PASSED
"""File path: C:\Users\Brandon\Documents\Katalon Recorder Suites\Crazy Suite.html""",Firefox 66.0,,2019-04-04 15:19:21,2019-04-04 15:19:21,0.002s,PASSED
"""Generated by: bolson@northwoodglobal.com""",Firefox 66.0,,2019-04-04 15:19:21,2019-04-04 15:19:21,0.001s,PASSED
"baseUrl = ""https://weather.com/""",Firefox 66.0,----------------------------------------------------,2019-04-04 15:19:21,2019-04-04 15:19:21,0.022s,PASSED
openBrowser(baseUrl),Firefox 66.0,,2019-04-04 15:19:21,2019-04-04 15:19:40,18.735s,PASSED
selenium = new com.kms.katalon.core.webui.driver.KatalonWebDriverBackedSelenium(baseUrl),Firefox 66.0,,2019-04-04 15:19:40,2019-04-04 15:19:40,0.253s,PASSED
"selenium.waitForPageToLoad(""3000"")",Firefox 66.0,waitForPageToLoad | 3000 | ,2019-04-04 15:19:40,2019-04-04 15:19:40,0.532s,PASSED
"selenium.open(""https://weather.com/"", """")",Firefox 66.0,open | https://weather.com/ | ,2019-04-04 15:19:40,2019-04-04 15:20:18,37.075s,ERROR
