Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoTestSuite1 (1),Chrome 73.0.3683.86,,2019-03-28 12:23:17,2019-03-28 12:24:03,45.837s,FAILED
,,,,,,
Test Cases/Imported from Selenium IDE Scripts/DemoTestSuite1 (1)/DemoTestCase1,Chrome 73.0.3683.86,,2019-03-28 12:23:17,2019-03-28 12:23:34,17.329s,PASSED
"""----------------------------------------------------""",Chrome 73.0.3683.86,,2019-03-28 12:23:18,2019-03-28 12:23:18,0.002s,PASSED
"""This test case script is generated by Katalon Studio""",Chrome 73.0.3683.86,,2019-03-28 12:23:18,2019-03-28 12:23:18,0.001s,PASSED
"""Generated date: 12-Mar-2019 02:48:22 PM""",Chrome 73.0.3683.86,,2019-03-28 12:23:18,2019-03-28 12:23:18,0.001s,PASSED
"""File path: C:\Users\Brandon\Documents\Katalon Suites\DemoTestSuite1.html""",Chrome 73.0.3683.86,,2019-03-28 12:23:18,2019-03-28 12:23:18,0.001s,PASSED
"""Generated by: bolson@northwoodglobal.com""",Chrome 73.0.3683.86,,2019-03-28 12:23:18,2019-03-28 12:23:18,0.003s,PASSED
"baseUrl = ""http://demo.guru99.com/test/login.html""",Chrome 73.0.3683.86,----------------------------------------------------,2019-03-28 12:23:18,2019-03-28 12:23:18,0.013s,PASSED
openBrowser(baseUrl),Chrome 73.0.3683.86,,2019-03-28 12:23:18,2019-03-28 12:23:28,9.809s,PASSED
selenium = new com.kms.katalon.core.webui.driver.KatalonWebDriverBackedSelenium(baseUrl),Chrome 73.0.3683.86,,2019-03-28 12:23:28,2019-03-28 12:23:28,0.188s,PASSED
"selenium.open(""http://demo.guru99.com/test/login.html"")",Chrome 73.0.3683.86,open | http://demo.guru99.com/test/login.html | ,2019-03-28 12:23:28,2019-03-28 12:23:29,0.513s,PASSED
"selenium.click(""id=email"")",Chrome 73.0.3683.86,click | id=email | ,2019-03-28 12:23:29,2019-03-28 12:23:29,0.221s,PASSED
"selenium.type(""id=email"", ""abcd@gmail.com"")",Chrome 73.0.3683.86,type | id=email | abcd@gmail.com,2019-03-28 12:23:29,2019-03-28 12:23:29,0.120s,PASSED
"selenium.type(""id=passwd"", ""abcde"")",Chrome 73.0.3683.86,type | id=passwd | abcde,2019-03-28 12:23:29,2019-03-28 12:23:29,0.067s,PASSED
"pw1 = selenium.getValue(""id=passwd"")",Chrome 73.0.3683.86,,2019-03-28 12:23:29,2019-03-28 12:23:29,0.048s,PASSED
