Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoTestSuite1,Chrome 72.0.3626.121,,2019-03-12 12:07:01,2019-03-12 12:07:30,28.167s,PASSED
,,,,,,
Test Cases/Imported from Selenium IDE Scripts/DemoTestSuite1/DemoTestCase1,Chrome 72.0.3626.121,,2019-03-12 12:07:02,2019-03-12 12:07:11,9.258s,PASSED
"""----------------------------------------------------""",Chrome 72.0.3626.121,,2019-03-12 12:07:02,2019-03-12 12:07:02,0.001s,PASSED
"""This test case script is generated by Katalon Studio""",Chrome 72.0.3626.121,,2019-03-12 12:07:02,2019-03-12 12:07:02,0.000s,PASSED
"""Generated date: 12-Mar-2019 11:47:09 AM""",Chrome 72.0.3626.121,,2019-03-12 12:07:02,2019-03-12 12:07:02,0.000s,PASSED
"""File path: C:\Users\Brandon\Documents\Katalon Suites\DemoTestSuite1.html""",Chrome 72.0.3626.121,,2019-03-12 12:07:02,2019-03-12 12:07:02,0.001s,PASSED
"""Generated by: bolson@northwoodglobal.com""",Chrome 72.0.3626.121,,2019-03-12 12:07:02,2019-03-12 12:07:02,0.002s,PASSED
"baseUrl = ""http://demo.guru99.com/test/login.html""",Chrome 72.0.3626.121,----------------------------------------------------,2019-03-12 12:07:02,2019-03-12 12:07:02,0.001s,PASSED
openBrowser(baseUrl),Chrome 72.0.3626.121,,2019-03-12 12:07:02,2019-03-12 12:07:08,5.832s,PASSED
selenium = new com.kms.katalon.core.webui.driver.KatalonWebDriverBackedSelenium(baseUrl),Chrome 72.0.3626.121,,2019-03-12 12:07:08,2019-03-12 12:07:08,0.150s,PASSED
"selenium.open(""http://demo.guru99.com/test/login.html"")",Chrome 72.0.3626.121,open | http://demo.guru99.com/test/login.html | ,2019-03-12 12:07:08,2019-03-12 12:07:09,0.785s,PASSED
"selenium.click(""id=email"")",Chrome 72.0.3626.121,click | id=email | ,2019-03-12 12:07:09,2019-03-12 12:07:09,0.169s,PASSED
"selenium.type(""id=email"", ""abcd@gmail.com"")",Chrome 72.0.3626.121,type | id=email | abcd@gmail.com,2019-03-12 12:07:09,2019-03-12 12:07:09,0.063s,PASSED
"selenium.type(""id=passwd"", ""abcde"")",Chrome 72.0.3626.121,type | id=passwd | abcde,2019-03-12 12:07:09,2019-03-12 12:07:09,0.080s,PASSED
"selenium.type(""id=email"", """")",Chrome 72.0.3626.121,type | id=email | ,2019-03-12 12:07:09,2019-03-12 12:07:09,0.051s,PASSED
"selenium.type(""id=passwd"", """")",Chrome 72.0.3626.121,type | id=passwd | ,2019-03-12 12:07:09,2019-03-12 12:07:09,0.047s,PASSED
"selenium.click(""id=email"")",Chrome 72.0.3626.121,click | id=email | ,2019-03-12 12:07:09,2019-03-12 12:07:09,0.045s,PASSED
"selenium.type(""id=email"", ""abcd@gmail.com"")",Chrome 72.0.3626.121,type | id=email | abcd@gmail.com,2019-03-12 12:07:09,2019-03-12 12:07:09,0.055s,PASSED
"selenium.type(""id=passwd"", ""abcde"")",Chrome 72.0.3626.121,type | id=passwd | abcde,2019-03-12 12:07:09,2019-03-12 12:07:09,0.044s,PASSED
"selenium.click(""xpath=(.//*[normalize-space(text()) and normalize-space(.)='Password'])[1]/following::span[2]"")",Chrome 72.0.3626.121,click | xpath=(.//*[normalize-space(text()) and normalize-space(.)='Password'])[1]/following::span[2] | ,2019-03-12 12:07:09,2019-03-12 12:07:10,0.786s,PASSED
closeBrowser(),Chrome 72.0.3626.121,,2019-03-12 12:07:10,2019-03-12 12:07:11,0.717s,PASSED
,,,,,,
Test Cases/Imported from Selenium IDE Scripts/DemoTestSuite1/DemoTestCase2,Chrome 72.0.3626.121,,2019-03-12 12:07:11,2019-03-12 12:07:29,18.642s,PASSED
"""----------------------------------------------------""",Chrome 72.0.3626.121,,2019-03-12 12:07:11,2019-03-12 12:07:11,0.001s,PASSED
"""This test case script is generated by Katalon Studio""",Chrome 72.0.3626.121,,2019-03-12 12:07:11,2019-03-12 12:07:11,0.001s,PASSED
"""Generated date: 12-Mar-2019 11:47:11 AM""",Chrome 72.0.3626.121,,2019-03-12 12:07:11,2019-03-12 12:07:11,0.000s,PASSED
"""File path: C:\Users\Brandon\Documents\Katalon Suites\DemoTestSuite1.html""",Chrome 72.0.3626.121,,2019-03-12 12:07:11,2019-03-12 12:07:11,0.001s,PASSED
"""Generated by: bolson@northwoodglobal.com""",Chrome 72.0.3626.121,,2019-03-12 12:07:11,2019-03-12 12:07:11,0.001s,PASSED
"baseUrl = ""http://demo.guru99.com/test/radio.html""",Chrome 72.0.3626.121,----------------------------------------------------,2019-03-12 12:07:11,2019-03-12 12:07:11,0.001s,PASSED
openBrowser(baseUrl),Chrome 72.0.3626.121,,2019-03-12 12:07:11,2019-03-12 12:07:27,15.515s,PASSED
selenium = new com.kms.katalon.core.webui.driver.KatalonWebDriverBackedSelenium(baseUrl),Chrome 72.0.3626.121,,2019-03-12 12:07:27,2019-03-12 12:07:27,0.033s,PASSED
"selenium.open(""http://demo.guru99.com/test/radio.html"")",Chrome 72.0.3626.121,open | http://demo.guru99.com/test/radio.html | ,2019-03-12 12:07:27,2019-03-12 12:07:27,0.527s,PASSED
