Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Simple,Firefox 66.0,,2019-04-04 15:20:32,2019-04-04 15:21:00,28.456s,FAILED
,,,,,,
Test Cases/Imported from Selenium IDE Scripts/Simple/Simple,Firefox 66.0,,2019-04-04 15:20:32,2019-04-04 15:20:59,27.207s,FAILED
"""----------------------------------------------------""",Firefox 66.0,,2019-04-04 15:20:33,2019-04-04 15:20:33,0.001s,PASSED
"""This test case script is generated by Katalon Studio""",Firefox 66.0,,2019-04-04 15:20:33,2019-04-04 15:20:33,0.002s,PASSED
"""Generated date: 26-Mar-2019 03:22:29 PM""",Firefox 66.0,,2019-04-04 15:20:33,2019-04-04 15:20:33,0.001s,PASSED
"""File path: C:\Users\Brandon\Documents\Katalon Recorder Suites\Simple.html""",Firefox 66.0,,2019-04-04 15:20:33,2019-04-04 15:20:33,0.002s,PASSED
"""Generated by: bolson@northwoodglobal.com""",Firefox 66.0,,2019-04-04 15:20:33,2019-04-04 15:20:33,0.002s,PASSED
"baseUrl = ""http://demo.guru99.com/test/login.html""",Firefox 66.0,----------------------------------------------------,2019-04-04 15:20:33,2019-04-04 15:20:33,0.011s,PASSED
openBrowser(baseUrl),Firefox 66.0,,2019-04-04 15:20:33,2019-04-04 15:20:47,14.190s,PASSED
selenium = new com.kms.katalon.core.webui.driver.KatalonWebDriverBackedSelenium(baseUrl),Firefox 66.0,,2019-04-04 15:20:47,2019-04-04 15:20:47,0.196s,PASSED
"selenium.open(""http://demo.guru99.com/test/login.html"", """")",Firefox 66.0,open | http://demo.guru99.com/test/login.html | ,2019-04-04 15:20:47,2019-04-04 15:20:47,0.445s,PASSED
"selenium.click(""id=email"")",Firefox 66.0,click | id=email | ,2019-04-04 15:20:47,2019-04-04 15:20:48,0.453s,PASSED
"selenium.type(""id=email"", ""person"")",Firefox 66.0,type | id=email | person,2019-04-04 15:20:48,2019-04-04 15:20:48,0.140s,PASSED
"selenium.type(""id=passwd"", ""password"")",Firefox 66.0,type | id=passwd | password,2019-04-04 15:20:48,2019-04-04 15:20:48,0.135s,PASSED
"selenium.click(""id=SubmitLogin"")",Firefox 66.0,click | id=SubmitLogin | ,2019-04-04 15:20:48,2019-04-04 15:20:54,5.441s,PASSED
"selenium.click(""//html/body/div[2]/div/div/a"")",Firefox 66.0,click | //html/body/div[2]/div/div/a | ,2019-04-04 15:20:54,2019-04-04 15:20:57,3.429s,PASSED
"Assert.assertEquals(""Meet Guru99 - Free Training Tutorials &amp; Video for IT Courses"", selenium.getTitle())",Firefox 66.0,assertTitle | Meet Guru99 - Free Training Tutorials &amp; Video for IT Courses | ,2019-04-04 15:20:57,2019-04-04 15:20:57,0.055s,FAILED
