Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Setup3,Chrome 73.0.3683.86,,2019-04-04 16:20:35,2019-04-05 12:56:05,20h - 35m - 29.431s,INCOMPLETE
,,,,,,
Test Cases/Setup3,Chrome 73.0.3683.86,,2019-04-04 16:20:36,2019-04-05 12:56:05,20h - 35m - 29.125s,ERROR
"""----------------------------------------------------""",Chrome 73.0.3683.86,,2019-04-04 16:20:37,2019-04-04 16:20:37,0.003s,PASSED
"""This test case script is generated by Katalon Studio""",Chrome 73.0.3683.86,,2019-04-04 16:20:37,2019-04-04 16:20:37,0.001s,PASSED
"""Generated date: 26-Mar-2019 03:22:29 PM""",Chrome 73.0.3683.86,,2019-04-04 16:20:37,2019-04-04 16:20:37,0.001s,PASSED
"""File path: C:\Users\Brandon\Documents\Katalon Recorder Suites\Simple.html""",Chrome 73.0.3683.86,,2019-04-04 16:20:37,2019-04-04 16:20:37,0.001s,PASSED
"""Generated by: bolson@northwoodglobal.com""",Chrome 73.0.3683.86,,2019-04-04 16:20:37,2019-04-04 16:20:37,0.002s,PASSED
"baseUrl = ""http://demo.guru99.com/test/login.html""",Chrome 73.0.3683.86,----------------------------------------------------,2019-04-04 16:20:37,2019-04-04 16:20:37,0.074s,PASSED
openBrowser(baseUrl),Chrome 73.0.3683.86,,2019-04-04 16:20:37,2019-04-04 16:20:45,8.060s,PASSED
selenium = new com.kms.katalon.core.webui.driver.KatalonWebDriverBackedSelenium(baseUrl),Chrome 73.0.3683.86,,2019-04-04 16:20:45,2019-04-04 16:20:45,0.127s,PASSED
"selenium.open(""http://demo.guru99.com/test/login.html"", """")",Chrome 73.0.3683.86,open | http://demo.guru99.com/test/login.html | ,2019-04-04 16:20:45,2019-04-04 16:20:46,0.389s,PASSED
"selenium.click(""id=email"")",Chrome 73.0.3683.86,click | id=email | ,2019-04-04 16:20:46,2019-04-04 16:20:46,0.161s,PASSED
"selenium.type(""id=email"", ""person"")",Chrome 73.0.3683.86,type | id=email | person,2019-04-04 16:20:46,2019-04-04 16:20:46,0.054s,PASSED
"selenium.type(""id=passwd"", ""password"")",Chrome 73.0.3683.86,type | id=passwd | password,2019-04-04 16:20:46,2019-04-04 16:20:46,0.060s,PASSED
"selenium.click(""id=SubmitLogin"")",Chrome 73.0.3683.86,click | id=SubmitLogin | ,2019-04-04 16:20:46,2019-04-04 16:20:47,1.019s,PASSED
"selenium.click(""//html/body/div[2]/div/div/a"")",Chrome 73.0.3683.86,click | //html/body/div[2]/div/div/a | ,2019-04-04 16:20:47,2019-04-04 16:20:51,3.782s,PASSED
"Assert.assertEquals(""Meet Guru99 - Free Training Tutorials & Video for IT Courses"", selenium.getTitle())",Chrome 73.0.3683.86,assertTitle | Meet Guru99 - Free Training Tutorials &amp; Video for IT Courses | ,2019-04-04 16:20:51,2019-04-04 16:20:51,0.116s,PASSED
selenium.close(),Chrome 73.0.3683.86,close | win_ser_local | ,2019-04-04 16:20:51,2019-04-05 12:55:17,20h - 34m - 26.627s,ERROR
